ISO code,Country,Variable code,Variable name,1990,2019
SDN,Sudan,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),39876.40234375,170039.953125
SEN,Senegal,pop,Population (in millions),7.526307,16.296364
SEN,Senegal,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),20870.564453125,51997.69140625
SGP,Singapore,pop,Population (in millions),3.012966,5.804337
SGP,Singapore,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),64860.5703125,514376.3125
SLE,Sierra Leone,pop,Population (in millions),4.319762,7.813215
SLE,Sierra Leone,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),6628.828125,13621.970703125
SLV,El Salvador,pop,Population (in millions),5.270079,6.453553
SLV,El Salvador,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),6124.3056640625,53766.4765625
SRB,Serbia,pop,Population (in millions),9.517675,6.99451
SRB,Serbia,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),113435.8046875,121562.6953125
STP,Sao Tome and Principe,pop,Population (in millions),0.119209,0.215056
STP,Sao Tome and Principe,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),219.88346862793,784.53076171875
SUR,Suriname,pop,Population (in millions),0.405168,0.581372
SUR,Suriname,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),2825.86279296875,8851.3349609375
SVK,Slovakia,pop,Population (in millions),5.288454,5.457013
SVK,Slovakia,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),99966.3515625,176537.546875
SVN,Slovenia,pop,Population (in millions),2.006405,2.078654
SVN,Slovenia,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),42714.70703125,82556.5
SWE,Sweden,pop,Population (in millions),8.567384,10.036379
SWE,Sweden,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),257742.71875,560960.5
SWZ,Eswatini,pop,Population (in millions),0.82242,1.14813
SWZ,Eswatini,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),5463.302734375,9684.318359375
SXM,Sint Maarten (Dutch part),pop,Population (in millions),,0.042388
SXM,Sint Maarten (Dutch part),rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),,1511.99194335938
